budget_imdb;rating_imdb;votes_imdb;director_imdb;popularity_imdb;wins;nominations;oscars_won;bin_oscar_nom;revenue
-1;6.7;502;Nick Grinde (as Nick Grindé);NaN;0;0;0;0;0
-1;5.7;20;Frank McDonald;NaN;0;0;0;0;0
-1;8.3;359638;Orson Welles;1592;9;9;1;1;0
-1;7.8;14056;Howard Hawks;NaN;3;3;2;1;0
-1;7.8;18904;John Ford;NaN;8;8;5;1;0
-1;7.4;28733;Alfred Hitchcock;NaN;3;3;1;1;0
-1;7.3;106516;;135;3;0;1;1;0
-1;5.6;33;Christopher Young;NaN;0;0;0;0;0
-1;7.1;315;Vincent Sherman;NaN;0;0;0;0;0
-1;7.3;354;Alexander Korda;NaN;0;3;1;1;0
-1;7.7;4054;William Dieterle;NaN;0;0;1;1;0
-1;7.9;18;Eugene Forde;NaN;0;0;0;0;0
-1;6.8;49;Edward Dmytryk;NaN;0;0;0;0;0
-1;7.3;3052;Edmund Goulding;NaN;0;0;1;1;0
-1;7.6;5308;Alexander Hall;NaN;3;3;2;1;0
-1;7.4;5165;Michael Powell;NaN;2;2;1;1;0
-1;7.4;910;Jack Kinney (uncredited);NaN;0;0;0;0;0
-1;7.0;1523;Mervyn LeRoy;NaN;1;1;1;1;0
-1;6.4;135;Robert B. Sinclair;NaN;0;0;0;0;0
-1;7.0;2071;Rouben Mamoulian;NaN;0;0;1;1;0
-1;6.3;124;Wolfgang Liebeneiner;NaN;1;1;0;0;0
-1;6.1;66;Edward Killy;NaN;0;0;0;0;0
-1;6.4;71;Dave Fleischer;NaN;0;0;0;0;0
-1;6.6;574;Tay Garnett;NaN;0;0;0;0;0
-1;7.2;472;Jack King (uncredited);NaN;0;0;0;0;0
-1;7.4;666;Jack King;NaN;0;0;0;0;0
21173600;7.6;14087;William Wyler;NaN;4;4;6;1;21173600
-1;8.5;470933;Michael Curtiz;967;5;5;3;1;0
-1;7.7;531;István Szöts;NaN;1;1;0;0;0
-1;6.6;180;Miguel M. Delgado;NaN;1;1;0;0;0
-1;8.0;13383;Irving Rapper;NaN;0;1;1;1;0
-1;7.7;9029;Sam Wood;NaN;0;10;1;1;0
-1;7.5;11686;Mark Sandrich;NaN;0;2;1;1;0
-1;6.9;930;Anatole Litvak;NaN;0;3;1;1;0
-1;7.8;976;;NaN;0;0;0;0;0
-1;7.7;12809;Michael Curtiz;NaN;3;3;3;1;0
-1;5.9;21;Alex Lovy;NaN;0;0;0;0;0
-1;7.3;8209;George Stevens;NaN;0;1;1;1;0
-1;7.2;651;;NaN;4;0;0;0;0
-1;6.9;3582;Henry King;NaN;0;2;1;1;0
-1;6.2;1096;John Rawlins;NaN;0;0;0;0;0
-1;7.1;1545;;NaN;3;0;1;1;0
-1;6.4;520;Irving Cummings;NaN;0;0;1;1;0
-1;6.8;4821;Roy William Neill;NaN;0;0;0;0;0
-1;6.8;2595;Cecil B. DeMille (as Cecil B. De Mille);NaN;0;2;1;1;0
-1;6.2;4834;Erle C. Kenton;NaN;1;1;0;0;0
